set_name,rmse,mae,mape,r2
train,0.135384250833124,0.05793174824430106,0.018339359247258817,0.9990286661908148
val,0.13901971427153254,0.05917804877794843,0.018872747632279134,0.9989803040861752
test,0.1365138900134539,0.059013044894082274,0.018903223974412183,0.9990118459610278
